hcpcs_code,hcpcs_desc,hcpcs_effectivedt,hcpcs_terminationdt
L7401,"ADDITION TO UPPER EXTREMITY PROSTHESIS, ABOVE ELBOW DISARTICULATION, ULTRALIGHTMATERIAL (TITANIUM, CARBON FIBER OR EQUAL)                             ",2006-01-01 05:00:00,
Q0113,PINWORM EXAMINATIONS                                                                                                                                  ,1994-01-01 05:00:00,
Q0114,FERN TEST                                                                                                                                             ,1994-01-01 05:00:00,
Q0115,"POST-COITAL DIRECT, QUALITATIVE EXAMINATIONS OF VAGINAL OR CERVICAL MUCOUS                                                                            ",1994-01-01 05:00:00,
Q0144,"AZITHROMYCIN DIHYDRATE, ORAL, CAPSULES/POWDER, 1 GRAM                                                                                                 ",2002-07-01 04:00:00,
Q0163,"DIPHENHYDRAMINE HYDROCHLORIDE, 50 MG, ORAL, FDA APPROVED PRESCRIPTIONANTI-EMETIC, FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV AN           ",1998-04-01 05:00:00,
Q0164,"PROCHLORPERAZINE MALEATE, 5  MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC,FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT    ",1998-04-01 05:00:00,
Q0165,"PROCHLORPERAZINE MALEATE, 10  MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC,FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT   ",1998-04-01 05:00:00,
Q0166,"GRANISETRON HYDROCHLORIDE, 1 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC,FOR USE AS A COMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT    ",2009-01-01 05:00:00,
Q0167,"DRONABINOL, 2.5 MG, ORAL, FDA APPROVED PRESCRIPTION ANTI-EMETIC, FOR USE AS ACOMPLETE THERAPEUTIC SUBSTITUTE FOR AN IV ANTI-EMETIC AT THE TIME OF     ",1998-04-01 05:00:00,
